2021/02/27 01:34:22 [error] 9#9: *19 upstream prematurely closed connection while reading upstream, client: 172.22.0.1, server: , request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://172.22.0.2:3000/__webpack_hmr/client", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:34:22 [error] 9#9: *17 upstream prematurely closed connection while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:34:29 [error] 9#9: *9 upstream prematurely closed connection while reading response header from upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:35:01 [warn] 9#9: *32 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/3/00/0000000003 while reading upstream, client: 172.22.0.1, server: , request: "GET /_nuxt/commons/app.js HTTP/1.1", upstream: "http://172.22.0.2:3000/_nuxt/commons/app.js", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:35:01 [warn] 9#9: *33 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/4/00/0000000004 while reading upstream, client: 172.22.0.1, server: , request: "GET /_nuxt/vendors/app.js HTTP/1.1", upstream: "http://172.22.0.2:3000/_nuxt/vendors/app.js", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:36:02 [error] 9#9: *5 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:37:05 [error] 9#9: *32 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:38:08 [error] 9#9: *43 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:39:11 [error] 9#9: *45 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:40:15 [error] 9#9: *47 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:41:18 [error] 9#9: *49 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:43:26 [error] 9#9: *51 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:44:29 [error] 9#9: *55 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:45:32 [error] 9#9: *57 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:46:36 [error] 9#9: *59 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:47:39 [error] 9#9: *61 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:48:42 [error] 9#9: *64 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
